id	Inactivated1	Inactivated2	Normal1	Normal2
AAEL022803	0	0	0	0
AAEL022056	10	10	1	5
AAEL020871	0	0	0	0
AAEL028890	0	0	0	0
AAEL025271	0	0	0	0
AAEL024667	0	0	0	0
AAEL027301	0	1	2	0
AAEL022810	0	0	0	0
AAEL021800	0	0	0	0
AAEL005598	0	0	0	0
AAEL024040	0	0	0	0
AAEL005601	0	0	0	1
AAEL026662	0	0	1	4
AAEL024242	0	0	0	0
AAEL020552	0	0	0	0
AAEL026993	0	0	0	0
AAEL021682	4	0	0	2
AAEL024364	0	0	0	0
AAEL022923	0	0	0	0
AAEL025495	0	0	0	0
AAEL020179	0	0	0	0
AAEL028081	4	7	2	2
AAEL026436	3	6	3	8
AAEL024312	0	0	0	0
AAEL022283	0	0	0	0
AAEL021660	0	0	0	0
AAEL023244	0	0	0	0
AAEL028097	29	35	22	38
AAEL009987	21	11	2	17
AAEL027191	0	0	0	0
AAEL010886	0	0	0	0
AAEL025182	0	0	0	0
AAEL025369	0	0	0	0
AAEL020369	0	0	0	0
AAEL023011	0	0	0	0
AAEL025197	0	0	0	0
AAEL026534	0	0	0	0
AAEL007080	0	0	0	1
AAEL021105	0	0	0	0
AAEL026967	89	46	34	17
AAEL024815	1	3	0	0
AAEL020133	28	26	7	27
AAEL028861	0	0	0	0
AAEL028818	0	0	0	0
AAEL028928	0	0	0	0
AAEL028898	0	0	0	0
AAEL020721	0	0	0	0
AAEL022297	0	0	0	0
AAEL021000	0	0	0	0
AAEL025442	0	0	0	0
AAEL027281	0	0	0	0
AAEL020415	0	0	0	0
AAEL022705	0	0	0	0
AAEL024990	0	0	0	0
AAEL025587	0	0	0	0
AAEL024780	0	0	0	0
AAEL021776	0	0	0	0
AAEL023109	0	0	0	0
AAEL024696	0	0	0	0
AAEL024585	1	1	1	1
AAEL022017	0	0	0	0
AAEL020122	0	0	0	0
AAEL024711	0	0	0	0
AAEL023154	0	0	0	0
AAEL027667	0	0	0	0
AAEL022571	0	0	0	0
AAEL022789	0	0	0	0
AAEL026197	0	0	0	0
AAEL020772	0	0	0	0
AAEL027146	0	0	0	0
AAEL021754	0	0	0	0
AAEL025240	0	0	0	0
AAEL025372	0	0	0	0
AAEL024544	0	0	0	0
AAEL025267	0	0	0	0
AAEL021902	0	0	0	0
AAEL025521	0	0	0	0
AAEL024101	18	34	9	16
AAEL021316	0	0	0	0
AAEL022992	0	0	0	0
AAEL026549	0	0	0	0
AAEL021444	0	0	0	0
AAEL025788	0	0	0	0
AAEL026315	0	0	0	0
AAEL023360	0	0	0	0
AAEL027935	0	0	0	0
AAEL020282	0	0	0	0
AAEL025046	0	0	0	0
AAEL022556	0	0	0	0
AAEL021122	0	0	0	0
AAEL022665	11	1	14	7
AAEL015119	2	1	0	0
AAEL014668	3	1	0	3
AAEL024082	0	0	0	0
AAEL026813	0	0	0	0
AAEL025967	0	0	0	0
AAEL021294	0	0	0	0
AAEL022360	0	0	0	0
AAEL025133	131	242	61	122
AAEL020462	0	0	0	0
AAEL012088	0	0	0	0
AAEL027817	0	0	0	0
AAEL023179	0	0	0	0
AAEL022255	1	0	0	3
AAEL026913	0	0	0	0
AAEL026981	0	0	0	0
AAEL026025	0	0	0	0
AAEL027222	1	1	1	2
AAEL023862	0	0	1	0
AAEL026600	0	0	0	0
AAEL022769	0	0	0	0
AAEL025695	0	0	0	0
AAEL012339	31	67	5	6
AAEL020777	3	1	4	6
AAEL024512	6	1	4	5
AAEL022059	0	0	5	2
AAEL026423	0	0	1	0
AAEL022691	1	0	0	0
AAEL027206	1	0	4	7
AAEL023762	19	23	30	24
AAEL022544	0	0	0	0
AAEL020743	0	0	0	0
AAEL024357	0	0	0	0
AAEL025562	0	0	0	0
AAEL011259	0	0	0	0
AAEL023795	6	5	0	1
AAEL023647	59	113	40	69
AAEL027225	0	0	0	0
AAEL023074	0	8	5	4
AAEL013691	0	0	0	0
AAEL024074	0	0	0	0
AAEL005671	2	0	0	0
AAEL024031	0	0	0	0
AAEL024488	0	0	0	0
AAEL024668	0	0	0	0
AAEL023081	0	0	0	0
AAEL021697	0	0	0	0
AAEL025297	0	0	0	0
AAEL020754	0	0	0	0
AAEL024078	0	0	0	0
AAEL027692	0	0	0	0
AAEL026733	0	0	0	0
AAEL028201	0	0	0	0
AAEL023059	1	0	0	0
AAEL026883	0	0	0	0
AAEL027851	0	0	0	0
AAEL026250	0	0	0	0
AAEL025166	0	0	0	0
AAEL023278	0	0	0	0
AAEL024356	0	0	0	0
AAEL022643	0	0	0	0
AAEL021983	0	0	0	0
AAEL020951	0	0	0	0
AAEL027942	0	0	0	0
AAEL020810	0	0	0	0
AAEL025292	0	0	0	0
AAEL024140	0	0	0	0
AAEL021726	0	0	0	0
AAEL021540	0	0	0	0
AAEL024255	0	0	0	0
AAEL026533	0	0	0	0
AAEL027451	0	0	0	0
AAEL023340	0	0	0	0
AAEL021922	0	0	0	0
AAEL025620	0	0	0	0
AAEL022959	0	0	0	0
AAEL024177	0	0	0	0
AAEL026204	0	0	0	0
AAEL026550	0	0	0	0
AAEL021821	0	0	0	0
AAEL026505	0	0	0	0
